"","County","HWYPROP","RYPROP","fatal_rate","pct_pub_transport","rate_al_pn_gm_env","rate_ent_env","rate_ed_env","rate_food_env_neg","rate_food_env_pos","rate_hc_env","rate_rec_env","rate_trans_env","rate_civic_env","to_unit_rate"
"156","Mississippi",0.04729333,0.1624908,0.0007695,0.2,0.000481,0.0001539,0.0009812,0.0006349,0.0016353,0.002174,0.0002116,0.0000385,0.0000577,0.0313203
"157","Monroe",0.0625116,0.18942133,0.0000975,0.2,0.0008777,NA,0.0017554,0.0004876,0.0026331,0.002048,0.0002926,0.0000975,0.0000975,0.0452506
"158","Montgomery",0.02426946,0.07067682,0.0002163,0.1,0.0001082,0.0005408,0.000649,0.0007572,0.0017307,0.0011898,0.0005408,0.0001082,NA,0.0028123
"159","Nevada",0.02684713,0.19464459,0.0008036,0.4,0.0001005,0.0003014,0.0006027,0.0008036,0.0007032,0.0016072,0.0001005,NA,0.0001005,0.0181818
"160","Newton",0.00349247,0.16538698,0.0005809,0.3,NA,0.0004647,0.0003485,0.0008132,0.0015102,0.0008132,0.0002323,NA,0.0002323,0
"161","Ouachita",0,0.24345491,0.000521,0.6,0.0005557,0.0002431,0.0009031,0.0007642,0.0018757,0.0020841,0.0001389,0.0000695,0.0000347,0.022612
"162","Perry",0,0.13339024,0.0002939,0.8,0.000098,0.000098,0.0005877,0.0002939,0.0009795,0.0009795,0.0002939,0.000098,0.000098,0
"163","Phillips",0.03263759,0.13398891,0.000416,0.7,0.0003781,0.0001891,0.0008697,0.0009075,0.0018529,0.002042,0.0001134,0.0001134,0.0000756,0.0357724
"164","Pike",0,0.10159964,0.0004424,0.6,0.0000885,0.0003539,0.0010617,0.0017694,0.001681,0.0028311,0.0004424,NA,NA,0.0079625
"165","Poinsett",0.0369819,0.15432668,0.0008199,0.1,0.0005075,0.0000781,0.0008199,0.0008979,0.0014445,0.0016397,0.0001171,0.0000781,NA,0.0365035
"166","Polk",0.02976916,0.06068112,0.0005932,0.3,0.0000989,0.000346,0.0006426,0.0009392,0.0017796,0.0028177,0.0004943,0.0000989,0.0000494,0.0201196
"167","Pope",0.03286594,0.14511611,0.0003488,0.1,0.0001469,0.0003672,0.000716,0.0008262,0.0015972,0.0028089,0.0003121,0.0001102,0.0000367,0.0143751
"168","Prairie",0.03477979,0.12973853,0.000629,0.1,0.000629,0.0001048,0.0007338,0.0009435,0.001258,0.0013628,0.0002097,NA,NA,0.0100639
"169","Pulaski",0.06497888,0.17187804,0.0002185,1.3,0.0004869,0.0003984,0.0008936,0.0009489,0.0019725,0.0039616,0.0002794,0.0001079,0.0001383,0.0176887
"170","Randolph",0.0328322,0.11707043,0.0003298,0.1,0.0003298,0.0001649,0.0007145,0.0006595,0.001429,0.0019786,0.0001649,NA,NA,0.0145644
"171","St. Francis",0.07822633,0.17310407,0.0009888,0.5,0.0004432,0.0001023,0.0008183,0.000716,0.0017389,0.0018071,0.0002728,0.0001705,0.0000341,0.0349824
"172","Saline",0.02426054,0.09019051,0.0001796,0.2,0.0002035,0.0002035,0.0005986,0.0007063,0.0011014,0.0020232,0.0002634,0.0000359,0.0000718,0.0105472
"173","Scott",0.03983919,0.07307296,0.0006366,0,0.0000909,0.0000909,0.0010913,0.0003638,0.0014551,0.0012732,0.0002728,NA,0.0000909,0.0180975
"174","Searcy",0.03126469,0.10362659,0.0019368,0.5,0.0002421,0.0003632,0.0007263,0.0001211,0.0019368,0.0010895,0.0001211,NA,0.0002421,0.0346205
"175","Sebastian",0.02874184,0.13315144,0.0003563,0.7,0.0005996,0.0005388,0.0006344,0.0010428,0.002077,0.0052229,0.0004432,0.0000608,0.0000869,0.0141652
"176","Sevier",0.03952,0.0698362,0.000952,0.1,0.0001904,0.0000635,0.0006346,0.000825,0.0015231,0.0023482,0.0003808,0.0001269,0.0001269,0.011487
"177","Sharp",0.04408611,0.05859478,0.000701,0.1,0.0001752,0.0005841,0.0006426,0.0009346,0.0016356,0.0022198,0.0005841,0.0000584,0.0001168,0
"178","Stone",0,0.17702865,0.0009566,0.7,0.0001739,0.0005218,0.0007827,0.0008696,0.002348,0.0014784,0.000087,NA,0.0001739,0
"179","Union",0.05703406,0.170597,0.0008547,0.1,0.0005479,0.0003068,0.0004821,0.0006136,0.0020601,0.0027833,0.0002849,0.0001096,0.0001315,0.0086129
"180","Van Buren",0.0260092,0.12144961,0.0012969,0.1,0.0001235,0.0005558,0.0007411,0.0006176,0.0016057,0.0016675,0.000247,NA,0.0000618,0.0291502
"181","Washington",0.03837915,0.12108178,0.0005263,0.5,0.0004248,0.0003234,0.0007482,0.0009764,0.0019465,0.0034302,0.0003043,0.0000761,0.0001332,0.0069556
"182","White",0.05198291,0.13848822,0.0007593,0.3,0.0001787,0.0003424,0.0004913,0.0009529,0.0016973,0.0027693,0.0002531,0.0000596,0.0000744,0.0065808
"183","Woodruff",0,0.19030494,0.0004576,0.1,0.0006864,NA,0.0012584,0.000572,0.0016016,0.0020593,0.0001144,0.0001144,0.0002288,0.021279
"184","Yell",0,0.15359033,0.0007096,0.2,0.0000473,0.0000473,0.000615,0.0005677,0.0011826,0.0019395,0.0002838,0.0000473,0.0000473,0.009745
"185","Alameda",0.06515831,0.18991671,0.0002071,10.6,0.0003429,0.0005444,0.0006629,0.0006081,0.0022871,0.0033503,0.0001766,0.0001815,0.0000859,0.017837
"186","Alpine",0,0.17519128,0.009106,0.5,0.0016556,0.0008278,0.0024834,0.0024834,0.0033113,0.0016556,0.0008278,NA,0.0008278,0
"187","Amador",0.01451914,0.10337256,0.0006553,0.3,0.0005983,0.0007123,0.0003989,0.0007123,0.0022507,0.0041026,0.0003134,0.0000855,0.0001425,0
"188","Butte",0.01876046,0.11962668,0.0002953,1.1,0.0003052,0.0006349,0.0006546,0.0006694,0.0021164,0.0041984,0.0003544,0.0000788,0.0001132,0.0111286
