"","County","PM10_mean","PM25_mean","NO2_mean","SO2_mean","O3_mean","CO_mean","BENZENE","TOLUENE","XYLENES","Pb","Hg","As","WaterCR","Cd","Air","PCB","HCB","EOx","VyCl","TRICHLORENE","C2CL4","DCM","C3H3N","Benzidine","24D","ATRAZINE","HCCPD","pct_manure_acres","Herbicides","Fungicides","Insecticides","Per_TotPopSS_ave","med_hh_inc","pct_pers_lt_pov","med_hh_value","pct_unemp","pct_hs_more","pct_mt_10units","med_rooms","violent_rate","work_out_co"
"3067","Forest",7.4692285374,6.5122016696,159.63055284,572.0270783,8301.6975758,164.19523922,0.5,0.34,0.5,0.0003647641,0.0005011249,0.002,0.002,0.0000274135,0.0000441399,0,0,0.0007930329,0.0000227312,0.5,0.5,0.5,0.0009172262,0.0000000066,0,0,0,0.001996428,712.0764286,2723.122457,289.8565048,71.86,32023,13.1,77400,7.7,78.5,1.9,4.9,102.97642,24.9
"3068","Grant",9.7758915032,10.4614579,542.05442114,189.89503166,5872.6088406,280.80007875,0.5,0.79,0.5,0.0005966021,0.0005080314,0.002,0.001,0.0000341006,0.0001151166,0.1,0.1,0.0066021562,0.0013288859,0.5,0.5,0.5,0.004636407,0.0000000066,0.1,0.1,0.1,0.131808497,224067.8426,13.221,8824.33972,38.06,36268,11.2,78000,4.7,83.5,6.4,5.7,0,29.9
"3069","Green",10.851954366,10.298810661,617.83850194,157.03741293,13202.873667,391.61109382,0.35,0.54,0.5,0.0019867775,0.0005116037,0.001,0.001,0.0000492952,0.0015593009,0.1,0.1,0.0097977159,0.0020137973,0.5,0.5,0.5,0.0072712972,0.0000000066,0.1,0.1,0.1,0.152593404,146899.5723,129.6615,5339.1892,43.78,43228,5.1,97700,3.2,84.1,4.3,5.9,36.400002,33.6
"3070","Green Lake",9.2278651124,9.0951110561,618.4787936,1201.4340312,8218.6724736,533.22073846,0.5,0.5,0.5,0.0005831693,0.0005078554,0.002,0.001,0.0000348567,0.0000872055,0.1,0.1,0.0058973391,0.0003226054,0.34,0.5,0.38,0.0039267335,0.0000000066,0.1,0.1,0.1,0.070379035,82782.929,77.7243,3306.82648,51.1,39462,7,90100,5.1,81.9,3.8,5.9,91.954103,43.7
"3071","Iowa",9.2424119212,10.078679482,606.81594862,201.52638498,8027.7726856,362.37183793,0.5,0.5,0.5,0.0005797373,0.0005033947,0.001,0.002,0.0000308426,0.0001193642,0.1,0.1,0.0073124661,0.0000086291224,2.28,0.5,0.5,0.0051730278,0.0000000066,0.1,0.1,0.1,0.097143608,101044.6227,10902.18133,4885.830619,43.85,42518,7.3,91800,3.9,88.5,1.8,5.9,183.71605,36.5
"3072","Iron",6.4925970117,6.4721176565,129.16224514,56.001430012,5394.440214,141.01452804,0.5,0.5,0.5,0.0003311604,0.0005033055,0.002,0.002,0.000025856,0.0000495511,0,0,0.0005064166,0.0000730319,0.5,0.5,0.5,0.0006441426,0.000000005775,0,0,0,0.001242535,62.886,533.1699,53.2426,51.66,29580,11.1,58900,8.9,83.7,2.5,4.9,117.89298,45.5
"3073","Jackson",7.3225657919,8.9355543512,334.80885479,302.63876618,6338.6057215,307.90942307,0.5,0.5,0.5,0.0004832832,0.0005050644,0.002,0.001,0.0000308996,0.0000588413,0,0,0.0026533756,0.0009272797,0.5,0.5,0.34,0.0022554025,0.0000000066,0,0.2,0,0.037191222,65177.07311,1365.461229,2479.427272,61.52,37015,9.6,76800,8.3,79,3.4,5.6,117.90845,25.3
"3074","Jefferson",12.152857803,10.030573542,783.15329872,975.6627917,12150.373047,869.24790948,0.5,0.35,0.57,0.0016536289,0.0005161955,0.002,0.001,0.0000485565,0.000736503,0.1,0.1,0.0101481032,0.0081644018,0.5,0.5,0.38,0.006870183,0.0000000066,0.1,0.1,0.1,0.085196804,148125.5137,4166.232686,5570.360697,37.58,46901,5.7,123800,4.1,84.7,5.1,5.7,113.15,39.5
"3075","Juneau",7.8028045484,8.6179104103,490.90725953,305.81066754,7837.9662901,347.94439568,0.5,0.5,0.5,0.0004731346,0.0005109433,0.001,0.001,0.000031378,0.0002084778,0,0,0.0043622459,0.000084571,0.48,1.09,0.5,0.0028217054,0.0000000066,0,0.26,0,0.040163748,69368.59882,27423.63,5001.74824,58.62,35335,10.1,71200,6.1,78.5,2.3,5.3,106.34755,33.2
"3076","Kenosha",14.0376273,10.174660537,1798.693951,326.74547746,8238.4708039,1766.9904876,0.5,0.5,0.5,0.0030479005,0.0005623636,0.001,0.002,0.0000871235,0.0006027962,0.1,0.1,0.0151210703,0.0163414597,0.5,0.5,0.38,0.0085331979,0.0000000064935483,0.1,0.1,0.1,0.017609222,61219.56481,89.6778,1924.02932,30.02,46970,7.5,120900,5.8,83.5,10.1,5.2,140.39999,43.8
"3077","Kewaunee",7.8169823795,8.1636741571,857.17268173,365.03364735,10140.232117,227.21725748,0.5,0.5,0.5,0.0004166449,0.0005081615,0.002,0.005,0.0000337059,0.0000812808,0.1,0.1,0.003003025,0.0002363482,0.5,0.5,0.5,0.0022602885,0.00000000594,0.1,0.1,0.1,0.066437802,47736.99639,153.4065,1757.01056,59.86,43824,5.8,92100,2.6,84,2.3,5.9,156.63672,44.6
"3078","La Crosse",7.1807027793,9.5745080573,387.617317,456.85444803,5956.2067602,304.67581225,0.39,0.4,0.5,0.0011180732,0.0005292271,0.002,0.001,0.0000533675,0.0003444345,0.1,0.1,0.004023234,0.013175741,0.74,1.34,0.85,0.0021771608,0.0000000066,0.1,0.1,0.1,0.077148275,55444.74886,3.861,2237.30596,25.21,39472,10.7,96900,4.1,89.7,11.4,5.4,181.5,8.5
